Extraction Type,Extraction Layer,Distance Function Type,Combination Function Level,# of Neurons per Layer,# of Layers,Loss Mean,Loss Std,Binary Accuracy Mean,Binary Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,True Negatives Mean,True Negatives Std,False Positives Mean,False Positives Std,False Negatives Mean,False Negatives Std,True Positives Mean,True Positives Std
Auto-Encoder,-1,Euclidean,4,64,1,0.23588859256505965,0.0015386781859502367,0.5973249912261963,0.007767921847045536,0.6030380010604859,0.020604400531985638,0.5894646406173706,0.06309512185790002,4819.2,622.4597978986274,3147.0,575.8189819726334,3295.8,486.13650346379046,4738.0,533.4660251599909
Basic Transfer,0,Cosine,4,-1,-1,0.324775,0.007948884552250086,0.6752249836921692,0.007948875449660407,0.9953951835632324,0.0013697881228672073,0.35117092728614807,0.007172730894630132,7999.0,121.18787068019637,13.0,4.0,5183.4,130.2317165670483,2804.6,35.75332152402067
Basic Transfer,1,Cosine,4,-1,-1,0.4368875,0.0044663236419901445,0.5631124973297119,0.004466328597185099,0.997694981098175,0.0011018842697277092,0.13003602474927903,0.004205500682760337,7965.4,58.568763005547595,2.4,1.140175425099138,6987.8,71.08938036021976,1044.4,31.667017541915747
Basic Transfer,2,Cosine,4,-1,-1,0.13722499999999999,0.0025642524495454793,0.8627750039100647,0.0025642476833359507,0.9565278887748718,0.00213430674783634,0.7616969347000122,0.006513267474938484,7674.4,118.53607045958624,278.4,9.476286192385707,1917.2,36.98242825991825,6130.0,137.16231260809218
Transfer,0,Cosine,0,0,0,0.3813033822059631,0.007799196825322041,0.5048249959945679,0.002145749898350591,0.5049371600151062,0.0025377144701437737,0.5022457480430603,0.03239225749882656,4058.2,223.10692503819777,3939.4,230.69308615561064,3983.4,262.8208515319894,4019.0,256.25182926176353
Transfer,0,Cosine,0,1024,1,0.16223962359428407,0.08179603391630075,0.7256625056266784,0.18416739588788186,0.7213329076766968,0.1817571466717005,0.7901888370513916,0.13675043565642644,5278.2,2205.7720190445793,2701.2,2180.379943954723,1688.2,1113.4009610198834,6332.4,1065.0426282548506
Transfer,0,Cosine,0,16,1,0.1348001907840371,0.007747500852612251,0.8182624816894531,0.011003319338503785,0.7833904385566711,0.01370551304959919,0.8803914666175843,0.0073581365009870265,6043.0,128.11323116680805,1950.2,141.63227033412971,957.6,57.661078727335656,7049.2,90.49143605888901
Transfer,0,Cosine,1,0,0,0.09275375051712617,0.0009170817873517521,0.8752124905586243,0.0005050488142636359,0.9162337422370911,0.0015152018286246078,0.822906494140625,0.003263423774145223,7491.8,60.176407337095156,595.4,16.33401359127633,1401.2,19.12328423676226,6511.6,62.0830089476984
Transfer,0,Cosine,1,1024,1,0.09079830598756672,0.0038871085955410277,0.8745625138282775,0.006756801860420099,0.9050123453140259,0.02165195439763099,0.8374835133552552,0.03254527902646711,7310.0,215.8471681537657,709.6,207.65427999441766,1297.4,263.2950816099686,6683.0,258.2702073410714
Transfer,0,Cosine,1,16,1,0.09158682608827948,0.0035596867884998885,0.8727000117301941,0.005617065672739613,0.9205044150352478,0.0066890441867247475,0.817448890209198,0.008205606577851571,7386.6,33.73129111077724,568.0,48.358039662500794,1468.8,69.12452531482585,6576.6,60.48801534188405
Transfer,0,Cosine,2,0,0,0.1313863191753626,0.01892025079191642,0.9031749963760376,0.0063469758138277235,0.9231849551200867,0.013491991101933654,0.880177092552185,0.0280857253460534,7403.6,157.21418511063177,590.6,130.8254562384554,958.6,220.90563596250777,7047.2,252.1055334577169
Transfer,0,Cosine,2,1024,1,0.1381779995277524,0.05421716865285578,0.8996499896049499,0.00556734912157032,0.910201120376587,0.026176894862299103,0.8880071878433228,0.04045121365151285,7305.8,308.24778993530515,713.4,257.57193170064164,892.2,316.5449415169985,7088.6,368.94213638455557
Transfer,0,Cosine,2,16,1,0.11882671123817565,0.03312859255836759,0.9048624992370605,0.006639210887274031,0.9167754292488098,0.02005123815993528,0.8906356215476989,0.03140900613661422,7384.6,180.32553895663253,651.0,191.25767958437643,871.2,251.06712249914366,7093.2,244.88507508625347
Transfer,0,Cosine,3,0,0,0.07354504240304231,0.016681489536396213,0.9111250042915344,0.0020563404304303388,0.9330106139183044,0.005336834105892406,0.8857805848121643,0.010580131384718966,7494.2,150.3718723698019,509.4,51.58294291720859,912.6,74.21118514078589,7083.8,173.27781162053034
Transfer,0,Cosine,3,1024,1,0.0748031647587195,0.01668974678397754,0.9089125037193299,0.00349347789409689,0.9366329312324524,0.010019207043751286,0.8771053314208984,0.018249908415202045,7537.4,101.9156513985953,476.0,90.93679123435135,981.4,144.79053836490837,7005.2,153.92433205961947
Transfer,0,Cosine,3,16,1,0.08812779114805161,0.031023593670646235,0.9121374964714051,0.001983533982223886,0.9433513402938842,0.00424173881071269,0.8784919500350952,0.004951819941118039,7507.2,75.618780736005,425.8,36.06521870167988,980.0,33.793490497431605,7087.0,87.467136685729
Transfer,1,Cosine,0,0,0,0.40076730602383615,0.009675650426619269,0.5075750112533569,0.002252794521209822,0.5086513519287109,0.006000669128660815,0.5163264095783233,0.012187461800436464,3981.0,69.66347680097513,3999.6,100.85286312247163,3879.2,127.67027845195608,4140.2,90.58531889881493
Transfer,1,Cosine,0,1024,1,0.2606840199410915,0.0087983936826483,0.5092250049114228,0.008793925477589705,0.5050704777240753,0.0063352494668187645,0.7736328482627869,0.15859027289398933,1983.2,1391.7631623232455,6056.6,1346.0966904349775,1795.8,1242.8828182898014,6164.4,1291.5964152938795
Transfer,1,Cosine,0,16,1,0.15346997164189816,0.002715980612787122,0.7859249830245971,0.0049908966479066535,0.7542826890945434,0.007537096358083088,0.8457075238227845,0.007592407783596459,5836.8,83.26884171165106,2195.8,92.87464670188523,1229.4,62.94680293708331,6738.0,53.32447843157962
Transfer,1,Cosine,1,0,0,0.09037280356083066,0.0024632363060705918,0.877150011062622,0.0025528117063426683,0.9356510877609253,0.013662246602295385,0.8095952153205872,0.013402531825925048,7576.0,122.66213759754882,446.6,108.64299333136951,1519.0,108.67612433280826,6458.4,111.94775567200979
